Irrigation,rep,day,severity
Furrow,1,0,0.01
Furrow,2,0,0.01
Furrow,3,0,0.01
Furrow,1,7,0.04
Furrow,2,7,0.04
Furrow,3,7,0.04
Furrow,1,14,0.10
Furrow,2,14,0.10
Furrow,3,14,0.11
Furrow,1,21,0.11
Furrow,2,21,0.10
Furrow,3,21,0.10
Furrow,1,28,0.15
Furrow,2,28,0.17
Furrow,3,28,0.15
Furrow,1,35,0.18
Furrow,2,35,0.19
Furrow,3,35,0.19
Furrow,1,42,0.34
Furrow,2,42,0.38
Furrow,3,42,0.34
Furrow,1,49,0.38
Furrow,2,49,0.39
Furrow,3,49,0.38
Furrow,1,56,0.40
Furrow,2,56,0.41
Furrow,3,56,0.43
Furrow,1,63,0.46
Furrow,2,63,0.46
Furrow,3,63,0.43
Drip,1,0,0.01
Drip,2,0,0.01
Drip,3,0,0.01
Drip,1,7,0.03
Drip,2,7,0.04
Drip,3,7,0.04
Drip,1,14,0.11
Drip,2,14,0.11
Drip,3,14,0.10
Drip,1,21,0.13
Drip,2,21,0.12
Drip,3,21,0.10
Drip,1,28,0.16
Drip,2,28,0.15
Drip,3,28,0.15
Drip,1,35,0.18
Drip,2,35,0.19
Drip,3,35,0.17
Drip,1,42,0.30
Drip,2,42,0.33
Drip,3,42,0.34
Drip,1,49,0.33
Drip,2,49,0.37
Drip,3,49,0.37
Drip,1,56,0.39
Drip,2,56,0.46
Drip,3,56,0.41
Drip,1,63,0.43
Drip,2,63,0.43
Drip,3,63,0.43